match_id,radiant_win,start_time,duration,leagueid,radiant_score,dire_score,radiant_team_id,radiant_team_name,dire_team_id,dire_team_name,series_id,series_type
8700405044,True,1771693740,2525,19269,37,30,9467224,,9572001,,1067050.0,1.0
8700287136,False,1771689056,1643,19269,8,29,9338413,,8291895,,1066938.0,1.0
8700166436,False,1771684498,2488,19269,24,31,8291895,,9338413,,1066938.0,1.0
8700062110,False,1771680778,1826,19269,10,29,9338413,,8291895,,1066938.0,1.0
8699897894,False,1771673460,1510,19269,6,21,8261500,,2163,,1066888.0,1.0
8699819713,False,1771669515,2053,19269,8,34,8261500,,2163,,1066888.0,1.0
8698996024,False,1771615300,3700,19269,19,33,2586976,,8255888,,1066585.0,1.0
8698904895,True,1771609797,2512,19269,32,9,2586976,,8255888,,1066585.0,1.0
8698782516,True,1771604996,3005,19269,32,18,8255888,,2586976,,1066585.0,1.0
8698668899,True,1771599660,2824,19269,46,25,9247354,,8291895,,1066533.0,3.0
8698660679,False,1771599477,2326,19269,27,28,8261500,,9338413,,1066549.0,3.0
8698630441,False,1771598101,2180,19269,18,28,8254145,,36,,1066534.0,3.0
8698613744,False,1771597560,2151,19269,16,40,9964962,,7119388,,1066537.0,3.0
8698568968,False,1771595222,2527,19269,8,24,9338413,,8261500,,1066549.0,3.0
8698542436,True,1771593960,1629,19269,26,2,9964962,,7119388,,1066537.0,3.0
8698519769,False,1771593900,2575,19269,15,35,8254145,,36,,1066534.0,3.0
8698519674,False,1771593900,3755,19269,32,51,8291895,,9247354,,1066533.0,3.0
8698438568,False,1771588800,2662,19269,18,36,67,,2163,,1066507.0,3.0
8698437169,True,1771588741,1941,19269,43,20,9823272,,9467224,,1066508.0,3.0
8698436662,False,1771588975,3835,19269,25,34,8255888,,2586976,,1066504.0,3.0
8698428156,False,1771588680,1794,19269,7,38,9351740,,9572001,,1066505.0,3.0
8698371604,True,1771585098,1836,19269,34,16,9467224,,9823272,,1066508.0,3.0
8698371110,False,1771584939,1999,19269,21,45,67,,2163,,1066507.0,3.0
8698367627,True,1771584900,1663,19269,38,14,9572001,,9351740,,1066505.0,3.0
8698367105,True,1771584898,2187,19269,25,12,2586976,,8255888,,1066504.0,3.0
8697789792,False,1771532760,1951,19269,10,24,9338413,,9964962,,1066280.0,3.0
8697754563,True,1771531016,3909,19269,31,24,8261500,,9247354,,1066269.0,3.0
8697750242,False,1771530420,1877,19269,9,30,36,,8291895,,1066267.0,3.0
8697723954,True,1771529520,1608,19269,24,11,7119388,,8254145,,1066273.0,3.0
8697698749,False,1771528137,2730,19269,13,24,9964962,,9338413,,1066280.0,3.0
8697682487,False,1771526591,1816,19269,6,29,8254145,,7119388,,1066273.0,3.0
8697681037,True,1771526518,2094,19269,38,16,8291895,,36,,1066267.0,3.0
8697666126,False,1771526396,2806,19269,20,33,8261500,,9247354,,1066269.0,3.0
8697596107,False,1771522800,2802,19269,21,18,9823272,,67,,1066214.0,3.0
8697576851,True,1771521780,2133,19269,44,11,9572001,,9467224,,1066213.0,3.0
8697564182,False,1771521656,2275,19269,19,32,2586976,,2163,,1066207.0,3.0
8697542120,False,1771520759,2548,19269,18,33,9351740,,8255888,,1066205.0,3.0
8697485006,True,1771518184,2709,19269,32,25,67,,9823272,,1066214.0,3.0
8697483686,True,1771518000,1872,19269,19,11,9467224,,9572001,,1066213.0,3.0
8697468814,True,1771517517,2191,19269,33,13,2163,,2586976,,1066207.0,3.0
8697450883,True,1771516799,2151,19269,27,17,8255888,,9351740,,1066205.0,3.0
8697361675,False,1771512420,2659,19269,26,27,9964962,,8261500,,1066168.0,3.0
8697344540,True,1771511943,2983,19269,34,29,9338413,,36,,1066171.0,3.0
8697341660,False,1771511875,2644,19269,20,35,9247354,,7119388,,1066167.0,3.0
8697328519,False,1771511339,2554,19269,15,43,8254145,,8291895,,1066169.0,3.0
8697269393,True,1771508520,1629,19269,35,14,9338413,,36,,1066171.0,3.0
8697256357,True,1771507799,1719,19269,28,5,8291895,,8254145,,1066169.0,3.0
8697255100,False,1771507517,3147,19269,11,34,8261500,,9964962,,1066168.0,3.0
8697249030,False,1771507498,2474,19269,14,31,7119388,,9247354,,1066167.0,3.0
8697190420,True,1771504080,1947,19269,37,17,2163,,8255888,,1066161.0,3.0
8697171723,True,1771503000,2035,19269,32,6,9467224,,2586976,,1066153.0,3.0
8697154213,False,1771502340,2359,19269,13,43,9823272,,9572001,,1066151.0,3.0
8697151353,True,1771502099,3487,19269,43,48,9351740,,67,,1066149.0,3.0
8697096074,False,1771498619,2360,19269,8,23,2586976,,9467224,,1066153.0,3.0
8697090294,False,1771498501,1926,19269,5,23,9572001,,9823272,,1066151.0,3.0
8697089342,False,1771498501,3629,19269,35,32,2163,,8255888,,1066150.0,3.0
8697088694,True,1771498499,1898,19269,30,16,9351740,,67,,1066149.0,3.0
8696528491,False,1771445759,2477,19269,12,29,7119388,,8291895,,1065970.0,3.0
8696488308,False,1771443188,2201,19269,18,36,8261500,,36,,1065960.0,3.0
8696474752,False,1771442941,2516,19269,13,34,9964962,,9247354,,1065958.0,3.0
8696466009,False,1771442580,2450,19269,19,31,8254145,,9338413,,1065959.0,3.0
8696428864,True,1771440475,3413,19269,29,48,8291895,,7119388,,1065970.0,3.0
8696407511,True,1771439340,2112,19269,20,8,36,,8261500,,1065960.0,3.0
8696400188,True,1771439101,1497,19269,25,7,9338413,,8254145,,1065959.0,3.0
8696399585,True,1771439102,1813,19269,31,15,9964962,,9247354,,1065958.0,3.0
8696317708,True,1771435020,1854,19269,29,11,9467224,,2163,,1065906.0,3.0
8696315160,False,1771435079,3015,19269,19,36,2586976,,9572001,,1065903.0,3.0
8696295052,True,1771434180,2571,19269,44,23,8255888,,67,,1065902.0,3.0
8696286823,False,1771433821,2591,19269,18,38,9823272,,9351740,,1065897.0,3.0
8696228605,True,1771430988,2146,19269,33,12,9467224,,2163,,1065906.0,3.0
8696218051,True,1771430635,2524,19269,28,17,9572001,,2586976,,1065903.0,3.0
8696216369,False,1771430282,2053,19269,8,39,67,,8255888,,1065902.0,3.0
8696203572,False,1771430100,1884,19269,10,30,9351740,,9823272,,,
8696122466,True,1771426380,1590,19269,32,9,9338413,,9247354,,1065858.0,3.0
8696116685,False,1771425714,1944,19269,11,26,36,,7119388,,1065857.0,3.0
8696105036,True,1771425303,1835,19269,23,19,8291895,,9964962,,1065855.0,3.0
8696088640,False,1771424640,1670,19269,4,34,8254145,,8261500,,1065852.0,3.0
8696032319,True,1771422120,2440,19269,29,28,9338413,,9247354,,1065858.0,3.0
8696025726,False,1771421219,2748,19269,25,34,7119388,,36,,1065857.0,3.0
8696016706,False,1771421286,2119,19269,16,40,9964962,,8291895,,1065855.0,3.0
8696007524,False,1771421221,1628,19269,16,32,8254145,,8261500,,1065852.0,3.0
8695945509,False,1771416733,2124,19269,6,35,2586976,,67,,1065842.0,3.0
8695942998,True,1771417170,1549,19269,26,15,9467224,,9351740,,1065835.0,3.0
8695931779,False,1771416241,2482,19269,20,46,9823272,,8255888,,1065832.0,3.0
8695931537,False,1771416600,2958,19269,24,30,9572001,,2163,,1065831.0,3.0
8695879068,True,1771412504,2835,19269,42,28,9467224,,9351740,,1065835.0,3.0
8695867426,True,1771412100,2292,19269,27,16,8255888,,9823272,,1065832.0,3.0
8695864051,True,1771412100,2613,19269,32,19,9572001,,2163,,1065831.0,3.0
8695336368,True,1771361100,4796,19269,34,28,8261500,,8291895,,1065668.0,3.0
8695317896,False,1771359846,2648,19269,17,28,9964962,,36,,1065653.0,3.0
8695299239,False,1771359185,1962,19269,13,44,8254145,,9247354,,1065638.0,3.0
8695261608,False,1771357215,1965,19269,9,30,8261500,,8291895,,1065668.0,3.0
8695241710,False,1771355760,1972,19269,12,30,9964962,,36,,1065653.0,3.0
8695219250,False,1771354929,2490,19269,20,40,8254145,,9247354,,1065638.0,3.0
8695177931,True,1771352460,1923,19269,28,12,2586976,,9823272,,1065602.0,3.0
8695145808,True,1771350960,2348,19269,29,14,9572001,,8255888,,1065583.0,3.0
8695126869,True,1771350240,2045,19269,24,17,2163,,9351740,,1065588.0,3.0
8695096621,True,1771348861,1712,19269,35,8,2586976,,9823272,,1065602.0,3.0
8695048813,False,1771346663,1619,19269,12,26,9351740,,2163,,1065588.0,3.0
8695029034,False,1771345981,3131,19269,22,27,8255888,,9572001,,1065583.0,3.0
8694987925,False,1771343821,2638,19269,16,37,36,,9247354,,1065561.0,3.0
8694940772,False,1771341721,2444,19269,20,26,9964962,,8254145,,1065552.0,3.0
8694931163,True,1771341540,2094,19269,27,18,9338413,,7119388,,1065556.0,3.0
8694893418,False,1771339891,2030,19269,13,20,36,,9247354,,1065561.0,3.0
8694844159,False,1771337429,2190,19269,16,25,9338413,,7119388,,1065556.0,3.0
8694827368,True,1771336954,2612,19269,33,21,8254145,,9964962,,1065552.0,3.0
8694763191,True,1771333888,3333,19269,31,39,2163,,9823272,,1065531.0,3.0
8694753345,False,1771333104,1911,19269,16,23,67,,9467224,,1065529.0,3.0
8694745868,True,1771333084,1392,19269,27,10,2586976,,9351740,,1065530.0,3.0
8694692688,True,1771329615,1601,19269,38,9,2586976,,9351740,,1065530.0,3.0
8694627572,False,1771329302,2254,19269,19,23,9823272,,2163,,1065531.0,3.0
8694620579,True,1771329299,1808,19269,30,15,9467224,,67,,1065529.0,3.0
8694016846,True,1771272480,1940,19269,28,21,9338413,,8291895,,1065356.0,3.0
8693948351,True,1771269062,1451,19269,31,7,8291895,,9338413,,1065356.0,3.0
8693833533,False,1771263190,3397,19269,28,42,8255888,,9467224,,1065279.0,3.0
8693723587,True,1771259027,2218,19269,34,17,9467224,,8255888,,1065279.0,3.0
8693593278,True,1771252800,3092,19269,31,15,8261500,,7119388,,1065245.0,3.0
8693504706,False,1771248544,2385,19269,6,25,7119388,,8261500,,1065245.0,3.0
8693417171,False,1771243783,2396,19269,17,42,67,,9572001,,1065226.0,3.0
8693354840,False,1771239343,1765,19269,2,31,67,,9572001,,1065226.0,3.0
8573489164,True,1763921777,2630,18920,32,16,9338413,,7119388,,1039213.0,2.0
8573374192,True,1763917561,2560,18920,37,12,7119388,,9338413,,1039213.0,2.0
8573257030,True,1763913464,2394,18920,20,14,9338413,,7119388,,1039213.0,2.0
8573136306,True,1763909614,2119,18920,29,23,9338413,,7119388,,1039213.0,2.0
8572973892,False,1763904686,3292,18920,24,36,9338413,,7119388,,1039213.0,2.0
8572758153,True,1763897576,2328,18920,42,22,9338413,,2163,,1039062.0,1.0
8572646777,False,1763892992,2909,18920,23,29,9338413,,2163,,1039062.0,1.0
8572546517,False,1763888685,2326,18920,17,44,2163,,9338413,,1039062.0,1.0
8571700292,False,1763838454,1788,18920,16,27,8255888,,9338413,,1038820.0,1.0
8571606565,True,1763834953,1871,18920,34,16,9338413,,8255888,,1038820.0,1.0
8571495717,True,1763831115,2184,18920,31,12,8255888,,9338413,,1038820.0,1.0
8571364449,False,1763826709,2488,18920,21,28,2163,,7119388,,1038719.0,1.0
8571247569,False,1763823160,1753,18920,11,19,2163,,7119388,,1038719.0,1.0
8571126998,False,1763819427,1867,18920,9,32,7119388,,2163,,1038719.0,1.0
8570969478,False,1763814076,3119,18920,25,35,2586976,,9338413,,1038621.0,1.0
8570874935,True,1763810353,2134,18920,24,12,9338413,,2586976,,1038621.0,1.0
8570776037,False,1763805718,2873,18920,7,25,9572001,,8255888,,1038555.0,1.0
8570710804,True,1763802495,1559,18920,16,8,9572001,,8255888,,1038555.0,1.0
8570633976,True,1763798414,2212,18920,23,3,8255888,,9572001,,1038555.0,1.0
8570012520,True,1763755972,2130,18920,19,26,2163,,2586976,,1038288.0,1.0
8569914503,True,1763751836,2551,18920,38,25,2586976,,2163,,1038288.0,1.0
8569788728,True,1763746854,3916,18920,27,28,2163,,2586976,,1038288.0,1.0
8569592391,False,1763739946,3083,18920,18,35,9572001,,7119388,,1038192.0,1.0
8569460372,True,1763735590,2708,18920,21,11,7119388,,9572001,,1038192.0,1.0
8569364606,True,1763732337,1505,18920,27,2,9572001,,7119388,,1038192.0,1.0
