match_id,radiant_win,start_time,duration,leagueid,radiant_score,dire_score,radiant_team_id,radiant_team_name,dire_team_id,dire_team_name,series_id,series_type,total_kills,game_speed_categorize
8703862527,True,2026-02-23 21:16:00,26.02,19269,37,12,2163,,9247354,,1067962.0,1.0,49,Fast
8703811606,False,2026-02-23 20:22:00,21.18,19269,2,28,9247354,,2163,,1067962.0,1.0,30,Fast
8703682176,False,2026-02-23 18:29:00,69.17,19269,31,30,8291895,,9467224,,1067901.0,1.0,61,Late
8703596234,True,2026-02-23 17:22:00,34.35,19269,27,12,9467224,,8291895,,1067901.0,1.0,39,Normal
8703518862,False,2026-02-23 16:26:26,24.82,19269,3,28,9467224,,8291895,,1067901.0,1.0,31,Fast
8703354577,True,2026-02-23 14:33:58,33.63,19269,30,14,8261500,,9572001,,1067856.0,1.0,44,Normal
8703243107,False,2026-02-23 13:24:55,37.43,19269,10,31,9572001,,8261500,,1067856.0,1.0,41,Normal
8703101544,False,2026-02-23 11:50:57,37.6,19269,18,33,9338413,,8255888,,1067829.0,1.0,51,Normal
8702997623,True,2026-02-23 10:34:11,47.05,19269,28,30,8255888,,9338413,,1067829.0,1.0,58,Late
8702331491,True,2026-02-22 20:42:00,41.52,19269,41,7,9467224,,9247354,,1067597.0,1.0,48,Late
8702232936,True,2026-02-22 19:25:04,43.03,19269,45,20,9467224,,9247354,,1067597.0,1.0,65,Late
8702081221,True,2026-02-22 17:38:00,29.85,19269,39,8,2163,,8255888,,1067502.0,1.0,47,Fast
8701978003,False,2026-02-22 16:30:00,36.88,19269,12,17,8255888,,2163,,1067502.0,1.0,29,Normal
8701817219,True,2026-02-22 14:51:56,47.03,19269,42,20,8291895,,9572001,,1067405.0,1.0,62,Late
8701666212,False,2026-02-22 13:24:58,55.33,19269,28,24,9572001,,8291895,,1067405.0,1.0,52,Late
8701495156,False,2026-02-22 11:29:59,39.05,19269,15,32,9338413,,8261500,,1067332.0,1.0,47,Normal
8701415358,True,2026-02-22 10:25:34,32.82,19269,30,9,8261500,,9338413,,1067332.0,1.0,39,Normal
8700717009,False,2026-02-21 20:52:00,49.72,19269,19,36,8255888,,9247354,,1067120.0,1.0,55,Late
8700643559,False,2026-02-21 19:52:00,29.77,19269,14,28,8255888,,9247354,,1067120.0,1.0,42,Fast
8700519354,False,2026-02-21 18:22:00,44.58,19269,17,28,9572001,,9467224,,1067050.0,1.0,45,Late
8700405044,True,2026-02-21 17:09:00,42.08,19269,37,30,9467224,,9572001,,1067050.0,1.0,67,Late
8700287136,False,2026-02-21 15:50:56,27.38,19269,8,29,9338413,,8291895,,1066938.0,1.0,37,Fast
8700166436,False,2026-02-21 14:34:58,41.47,19269,24,31,8291895,,9338413,,1066938.0,1.0,55,Late
8700062110,False,2026-02-21 13:32:58,30.43,19269,10,29,9338413,,8291895,,1066938.0,1.0,39,Normal
