league_name,total_matches,avg_duration,avg_kills
SLAM IV,96,39.5340625,48.052083333333336
FISSURE S2,124,40.77282258064516,46.185483870967744
PGL Wallachia S6,118,40.33237288135594,45.440677966101696
SLAM V,94,39.09106382978723,46.223404255319146
DreamLeague S27,206,39.38203883495146,47.56310679611651
SLAM VI,100,42.52439999999999,48.96
DreamLeague S28,195,39.27394871794872,48.282051282051285
